pitcher,barrel_rate,hard_hit_rate
453286,0.0,0.18518518518518517
592332,0.0,0.07526881720430108
595014,0.0,0.23809523809523808
605135,0.0,0.03389830508474576
605483,0.0,0.0763888888888889
607192,0.0,0.07317073170731707
607455,0.0,0.08571428571428572
622554,0.0,0.06
656546,0.0,0.11363636363636363
660271,0.0,0.09027777777777778
669456,0.0,0.1276595744680851
676263,0.0,0.06896551724137931
680736,0.0,0.08108108108108109
683618,0.0,0.0
686218,0.0,0.2
686973,0.0,0.10869565217391304
689254,0.08333333333333333,0.16666666666666666
702056,0.008,0.048
808963,0.0,0.12121212121212122
808967,0.0,0.07692307692307693
